SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,19311 31st Dr SE #13,Bothell,WA,98012,891490,5,3.25,North Creek,3179,4250,2020,8,280,98,Active,February-1-2020 10:00 AM,February-1-2020 05:00 PM,http://www.redfin.com/WA/Bothell/19311-31st-Dr-SE-98012/unit-13/home/170433092,NWMLS,1557843,N,Y,47.8186352,-122.1906303
MLS Listing,,Single Family Residential,19318 31st Dr SE #11,Bothell,WA,98012,999900,5,3.75,North Creek,3713,6472,2020,8,269,98,Active,February-1-2020 10:00 AM,February-1-2020 05:00 PM,http://www.redfin.com/WA/Bothell/19318-31st-Dr-SE-98012/unit-11/home/170432740,NWMLS,1557836,N,Y,47.8186352,-122.1906303
MLS Listing,,Single Family Residential,19315 31st Dr SE #12,Bothell,WA,98012,891490,5,3.25,North Creek,3179,5447,2020,8,280,98,Active,February-1-2020 10:00 AM,February-1-2020 05:00 PM,http://www.redfin.com/WA/Bothell/19315-31st-Dr-SE-98012/unit-12/home/170432736,NWMLS,1557841,N,Y,47.8186352,-122.1906303
MLS Listing,,Single Family Residential,19316 31st Dr SE #10,Bothell,WA,98012,909990,4,3.5,North Creek,3241,3780,2020,8,281,98,Active,February-1-2020 10:00 AM,February-1-2020 05:00 PM,http://www.redfin.com/WA/Bothell/19316-31st-Dr-SE-98012/unit-10/home/170432560,NWMLS,1557833,N,Y,47.8186352,-122.1906303
MLS Listing,,Single Family Residential,17331 31st Dr SE,Bothell,WA,98012,745000,4,2.5,North Bothell,2375,6098,2001,8,314,25,Active,,,http://www.redfin.com/WA/Bothell/17331-31st-Dr-SE-98012/home/2886513,NWMLS,1556194,N,Y,47.8399549,-122.1902581
MLS Listing,,Single Family Residential,23018 Atlas Rd,Bothell,WA,98021,749000,4,2.75,Bothell,2306,9583,2017,9,325,,Active,,,http://www.redfin.com/WA/Bothell/23018-Atlas-Rd-98021/home/109592725,NWMLS,1556749,N,Y,47.7893725,-122.2627929
MLS Listing,,Single Family Residential,4010 215th Pl SE,Bothell,WA,98021,939990,5,2.75,Canyon Park,2928,4302,2020,9,321,113,Active,February-2-2020 11:00 AM,February-2-2020 04:00 PM,http://www.redfin.com/WA/Bothell/4010-215th-Pl-SE-98021/home/170399650,NWMLS,1557473,N,Y,47.8020692,-122.1742036
MLS Listing,,Mobile/Manufactured Home,4430 STRUMME Rd,Bothell,WA,98012,450000,3,2.0,Bothell,1440,80586,1979,10,313,,Active,,,http://www.redfin.com/WA/Bothell/4430-Strumme-Rd-98012/home/2466387,NWMLS,1542655,N,Y,47.851481,-122.1719679
MLS Listing,,Single Family Residential,307 221st Pl SW,Bothell,WA,98021,989000,4,2.75,Queensborough,3607,7361,2017,10,274,61,Active,,,http://www.redfin.com/WA/Bothell/307-221st-Pl-SW-98021/home/142991361,NWMLS,1551854,N,Y,47.7970562,-122.2372525
MLS Listing,,Mobile/Manufactured Home,1332 192nd St SE #71,Bothell,WA,98012,70000,3,1.5,Canyon Park,1000,,1981,10,70,,Active,,,http://www.redfin.com/WA/Bothell/1332-192nd-St-SE-98012/unit-71/home/2878000,NWMLS,1556460,N,Y,47.8229276,-122.2151677
MLS Listing,,Mobile/Manufactured Home,2200 196 St SE #58,Bothell,WA,98012,118000,3,2.0,Kennard Corner,1440,,1976,11,82,,Active,,,http://www.redfin.com/WA/Bothell/2200-196th-St-SE-98012/unit-58/home/2875042,NWMLS,1556721,N,Y,47.818561,-122.2034516
MLS Listing,,Mobile/Manufactured Home,1121 244th St SW #38,Bothell,WA,98021,174950,3,1.75,Bothell,1565,455292,1977,11,112,,Active,,,http://www.redfin.com/WA/Bothell/1121-244th-St-SW-98021/unit-38/home/2875859,NWMLS,1555708,N,Y,47.7791406,-122.2483024
MLS Listing,,Townhouse,18412 96th Dr NE Unit D,Bothell,WA,98011,738800,3,2.5,Downtown Bothell,1537,,2020,11,481,189,Active,,,http://www.redfin.com/WA/Bothell/18412-96th-Ave-NE-98011/unit-D/home/170364256,NWMLS,1556607,N,Y,47.7615408,-122.2122233
MLS Listing,,Townhouse,18413 96th Ln NE Unit F,Bothell,WA,98011,818800,3,2.5,Downtown Bothell,1537,,2020,11,533,194,Active,,,http://www.redfin.com/WA/Bothell/18413-96th-Ct-NE-98011/unit-F/home/170364181,NWMLS,1556604,N,Y,47.7728819,-122.2116682
MLS Listing,,Townhouse,13 197th Pl SW #08,Bothell,WA,98012,714950,4,3.25,Thrashers Corner,2418,2193,2019,12,296,90,Active,February-2-2020 11:00 AM,February-2-2020 03:00 PM,http://www.redfin.com/WA/Bothell/13-197th-Pl-SW-98012/unit-08/home/170361299,NWMLS,1556133,N,Y,47.818972,-122.2327457
MLS Listing,,Townhouse,19324 35th Dr SE #33,Bothell,WA,98012,459995,2,2.5,North Creek,1360,1396,2020,14,338,190,Active,February-2-2020 10:00 AM,February-2-2020 04:00 PM,http://www.redfin.com/WA/Bothell/19324-35th-Dr-SE-98012/unit-33/home/170351402,NWMLS,1556122,N,Y,47.8197452,-122.1853463
MLS Listing,,Townhouse,612 237th St SE Unit C,Bothell,WA,98021,569190,3,3.0,Canyon Park,1801,1000,2020,14,316,150,Active,,,http://www.redfin.com/WA/Bothell/612-237th-St-SE-98021/unit-C/home/170349496,NWMLS,1556048,N,Y,47.7828999,-122.2231701
MLS Listing,,Townhouse,612 237th St SE Unit B,Bothell,WA,98021,571190,3,3.0,Canyon Park,1805,1000,2020,14,316,150,Active,,,http://www.redfin.com/WA/Bothell/612-237th-St-SE-98021/unit-B/home/170349495,NWMLS,1556081,N,Y,47.7828999,-122.2231701
MLS Listing,,Single Family Residential,220 228th St SE,Bothell,WA,98021,1099950,4,2.5,Bothell,3004,10019,2019,15,366,,Active,,,http://www.redfin.com/WA/Bothell/220-228th-St-SE-98021/home/161172133,NWMLS,1556008,N,Y,47.7909122,-122.2279128
MLS Listing,,Single Family Residential,224 228th St SE,Bothell,WA,98021,1099950,4,2.5,Bothell,3004,10454,2019,15,366,,Active,,,http://www.redfin.com/WA/Bothell/224-228th-St-SE-98021/home/161243883,NWMLS,1556010,N,Y,47.790772,-122.227934
MLS Listing,,Townhouse,19731 Meridian Pl W #14,Bothell,WA,98012,694950,4,3.25,Thrashers Corner,2431,2210,2019,15,286,90,Active,February-2-2020 11:00 AM,February-2-2020 03:00 PM,http://www.redfin.com/WA/Bothell/19731-Meridian-Pl-W-98012/unit-14/home/169426593,NWMLS,1555963,N,Y,47.819119,-122.232841
MLS Listing,,Townhouse,15 197th Pl SW #07,Bothell,WA,98012,669950,3,3.25,Thrashers Corner,2175,2348,2020,15,308,90,Active,,,http://www.redfin.com/WA/Bothell/15-197th-Pl-SW-98012/unit-07/home/170226090,NWMLS,1555950,N,Y,47.8189744,-122.2328869
MLS Listing,,Mobile/Manufactured Home,23708 Locust Way Unit 25B,Bothell,WA,98021,114950,2,1.0,Bothell,972,,1986,15,118,,Active,,,http://www.redfin.com/WA/Bothell/23708-Locust-Way-98021/unit-25B/home/2872950,NWMLS,1555812,N,Y,47.781956,-122.259177
MLS Listing,,Single Family Residential,104 180th Pl SW Unit CT 09,Bothell,WA,98012,649950,4,2.5,Mill Creek,2101,3351,2020,16,309,50,Active,,,http://www.redfin.com/WA/Martha-Lake/104-180th-Pl-SW-98012/unit-CT-09/home/170324357,NWMLS,1554643,N,Y,47.834331,-122.236772
MLS Listing,,Single Family Residential,1403 241st (Lot #6) Pl SE,Bothell,WA,98021,1345990,7,3.75,Canyon Park,4438,10493,2019,18,303,128,Active,,,http://www.redfin.com/WA/Bothell/1403-241st-St-SE-98021/home/170292701,NWMLS,1548922,N,Y,47.7800349,-122.2140475
MLS Listing,,Townhouse,10323 NE 189th St Unit D,Bothell,WA,98011,879950,3,3.25,Downtown Bothell,2050,,2018,18,429,180,Active,February-2-2020 10:00 AM,February-2-2020 01:00 PM,http://www.redfin.com/WA/Bothell/10323-NE-189th-St-98011/unit-D/home/144536825,NWMLS,1554628,N,Y,47.7647547,-122.2022615
MLS Listing,,Townhouse,9619 Thorsk St Unit D,Bothell,WA,98011,918800,4,3.5,Downtown Bothell,2000,,2020,18,459,249,Active,,,http://www.redfin.com/WA/Bothell/9619-Thorsk-St-98011/unit-D/home/170288234,NWMLS,1554795,N,Y,47.7617938,-122.2121236
MLS Listing,,Single Family Residential,3921 215th Pl SE,Bothell,WA,98021,940990,5,2.75,Canyon Park,3404,3770,2020,19,276,113,Active,February-2-2020 11:00 AM,February-2-2020 04:00 PM,http://www.redfin.com/WA/Bothell/3921-215th-Pl-SE-98021/home/170276521,NWMLS,1554499,N,Y,47.8020692,-122.1742036
MLS Listing,,Vacant Land,22816 Locust Way,Lynnwood,WA,98036,999999,0,,Alderwood,,199609,,19,,,Active,,,http://www.redfin.com/WA/Lynnwood/22816-Locust-Way-98036/home/2655022,NWMLS,1554389,N,Y,47.791364,-122.256608
MLS Listing,,Townhouse,9635 Thorsk St Unit B,Bothell,WA,98011,798800,3,2.5,Downtown Bothell,1632,,2020,20,489,197,Active,,,http://www.redfin.com/WA/Bothell/9635-Thorsk-St-98011/unit-B/home/170271652,NWMLS,1554200,N,Y,47.7617975,-122.2119358
MLS Listing,,Townhouse,9619 Thorsk St Unit C,Bothell,WA,98011,718800,2,2.25,Downtown Bothell,1378,,2020,20,522,176,Active,,,http://www.redfin.com/WA/Bothell/9619-Thorsk-St-98011/unit-C/home/170271645,NWMLS,1554197,N,Y,47.7617938,-122.2121236
MLS Listing,,Mobile/Manufactured Home,2200 196th #33 St SE,Bothell,WA,98012,129900,3,1.75,Kennard Corner,1344,,1976,22,97,,Active,,,http://www.redfin.com/WA/Bothell/2200-196th-St-SE-98012/unit-33/home/2875009,NWMLS,1553816,N,Y,47.818561,-122.2034516
MLS Listing,,Single Family Residential,4011 228th St SE,Bothell,WA,98021,1999950,5,2.25,Bothell,3021,129373,1978,23,662,,Active,,,http://www.redfin.com/WA/Bothell/4011-228th-St-SE-98021/home/2600612,NWMLS,1552734,N,Y,47.7924234,-122.17874
MLS Listing,,Single Family Residential,1222 187th St SE,Bothell,WA,98012,689950,4,2.5,North Bothell,2391,5663,2004,23,289,30,Active,,,http://www.redfin.com/WA/Bothell/1222-187th-St-SE-98012/home/2903999,NWMLS,1551231,N,Y,47.828139,-122.2149419
MLS Listing,,Townhouse,14915 38th Dr SE Unit L1123,Bothell,WA,98012,369995,2,2.25,Mill Creek,1114,1,2006,25,332,246,Active,,,http://www.redfin.com/WA/Bothell/14915-38th-Dr-SE-98012/unit-L1123/home/170226234,NWMLS,1552657,N,Y,47.8622748,-122.1798117
MLS Listing,,Single Family Residential,17805 41st Dr SE,Bothell,WA,98012,825990,5,3.0,Bothell,2911,4580,2020,30,284,96,Active,,,http://www.redfin.com/WA/Bothell/17805-41st-Dr-SE-98012/home/170195317,NWMLS,1551268,N,Y,47.836469,-122.177361
MLS Listing,,Mobile/Manufactured Home,19234 127th Ave,Bothell,WA,98011,299500,2,2.0,Holly Hills,1152,5347,1973,30,260,23,Active,,,http://www.redfin.com/WA/Bothell/19234-127th-Ave-NE-98011/home/17080194,NWMLS,1550775,N,Y,47.7664983,-122.1716498
MLS Listing,,Mobile/Manufactured Home,10515 Woodinville Dr #20,Bothell,WA,98011,35000,2,1.0,Bothell,768,,1971,45,46,,Active,,,http://www.redfin.com/WA/Bothell/10515-Woodinville-Dr-98011/unit-20/home/167080910,NWMLS,1549081,N,Y,47.7580768,-122.1996656
MLS Listing,,Mobile/Manufactured Home,11330 E Riverside Dr #21,Bothell,WA,98011,45000,0,,Bothell,780,222591,1967,46,58,,Active,,,http://www.redfin.com/WA/Bothell/11330-E-Riverside-Dr-98011/unit-21/home/22057390,NWMLS,1548165,N,Y,47.7531706,-122.1889956
MLS Listing,,Single Family Residential,23011 20th Ave SE,Bothell,WA,98021,524900,3,2.5,North Creek,1384,9148,1986,49,379,,Active,,,http://www.redfin.com/WA/Bothell/23011-20th-Ave-SE-98021/home/2809297,NWMLS,1546413,N,Y,47.7897569,-122.2057465
MLS Listing,,Single Family Residential,22412 15th Pl W,Bothell,WA,98021,608000,4,2.5,Bothell,1719,8276,1994,51,354,30,Active,,,http://www.redfin.com/WA/Bothell/22412-15th-Pl-W-98021/home/2837659,NWMLS,1547645,N,Y,47.7947361,-122.2540533
MLS Listing,,Single Family Residential,23200 19th Ave SE,Bothell,WA,98021,825000,5,3.5,Canyon Park,3264,49658,1968,53,253,,Active,,,http://www.redfin.com/WA/Bothell/23200-19th-Ave-SE-98021/home/2618043,NWMLS,1546909,N,Y,47.7878716,-122.2083378
MLS Listing,,Single Family Residential,101 232nd  (Site 06) Pl SE,Bothell,WA,98021,1221995,4,3.0,Bothell,3181,7219,2019,58,384,107,Active,,,http://www.redfin.com/WA/Bothell/6-234th-Pl-SE-98021/home/2733662,NWMLS,1546330,N,Y,47.7851661,-122.2327032
MLS Listing,,Single Family Residential,22525 53rd Ave SE,Bothell,WA,98021,849990,3,2.5,Canyon Park,2376,20909,1977,68,358,,Active,,,http://www.redfin.com/WA/Bothell/22525-53rd-Ave-SE-98021/home/2595349,NWMLS,1543190,N,Y,47.7917486,-122.1599194
MLS Listing,,Townhouse,19714 Meridian Pl W #28,Bothell,WA,98012,709950,4,3.25,Thrashers Corner,2431,2159,2019,70,292,90,Active,February-2-2020 11:00 AM,February-2-2020 03:00 PM,http://www.redfin.com/WA/Mill-Creek/19714-Meridian-Pl-W-98012/unit-28/home/169932228,NWMLS,1542785,N,Y,47.818963,-122.232737
MLS Listing,,Single Family Residential,35 232nd  (Lot 05) Pl S,Bothell,WA,98021,1213995,4,3.0,Bothell,3145,7195,2019,72,386,107,Active,,,http://www.redfin.com/WA/Bothell/35-232nd-Pl-SW-98021/home/169914900,NWMLS,1543445,N,Y,47.7875396,-122.2338925
MLS Listing,,Townhouse,18416 96th Ln NE Unit B,Bothell,WA,98011,778800,3,2.5,Downtown Bothell,1632,,2020,74,477,197,Active,February-1-2020 12:00 PM,February-1-2020 05:00 PM,http://www.redfin.com/WA/Bothell/18416-96th-Ct-NE-98011/unit-B/home/169896082,NWMLS,1542725,N,Y,47.7728819,-122.2116682
MLS Listing,,Townhouse,18412 96th Dr NE Unit B,Bothell,WA,98011,758800,3,2.5,Downtown Bothell,1537,,2020,75,494,189,Active,February-1-2020 12:00 PM,February-1-2020 05:00 PM,http://www.redfin.com/WA/Bothell/18412-96th-Ct-NE-98011/unit-B/home/169883304,NWMLS,1542491,N,Y,47.7728819,-122.2116682
MLS Listing,,Single Family Residential,21617 2nd Ct SE,Bothell,WA,98021,1059000,4,3.5,Bothell,3232,8276,2020,76,328,,Active,February-2-2020 12:00 PM,February-2-2020 03:00 PM,http://www.redfin.com/WA/Bothell/2nd-Ct-SE-98021/home/167252742,NWMLS,1542137,N,Y,47.801586,-122.228836
MLS Listing,,Single Family Residential,331 203rd St SE,Bothell,WA,98012,700000,4,2.25,Bothell,2052,38768,1978,80,341,,Active,,,http://www.redfin.com/WA/Bothell/331-203rd-St-SE-98012/home/2648594,NWMLS,1540907,N,Y,47.8141867,-122.226424
MLS Listing,,Townhouse,1325 Seattle Hill Rd Unit L4,Bothell,WA,98012,549000,3,3.0,Mill Creek,2027,1307,2017,80,271,131,Active,February-2-2020 12:00 PM,February-2-2020 02:00 PM,http://www.redfin.com/WA/Bothell/1325-Seattle-Hill-Rd-98012/unit-L4/home/142644271,NWMLS,1539808,N,Y,47.8450585,-122.2147021
MLS Listing,,Single Family Residential,120 161st St SE,Bothell,WA,98012,589950,3,1.75,Mill Creek,1608,18296,1966,87,367,,Active,February-2-2020 11:00 AM,February-2-2020 01:00 PM,http://www.redfin.com/WA/Bothell/120-161st-St-SE-98012/home/2760059,NWMLS,1507855,N,Y,47.8516917,-122.2305883
MLS Listing,,Single Family Residential,17803 41st Dr SE,Bothell,WA,98012,830990,5,3.0,Bothell,2050,6183,2020,92,405,96,Active,,,http://www.redfin.com/WA/Bothell/17803-41st-Dr-SE-98012/home/169633503,NWMLS,1537563,N,Y,47.836469,-122.177361
MLS Listing,,Single Family Residential,17817 41st Dr SE,Bothell,WA,98012,849990,5,3.0,Bothell,3006,4500,2020,92,283,96,Active,,,http://www.redfin.com/WA/Bothell/17817-41st-Dr-SE-98012/home/169633476,NWMLS,1537593,N,Y,47.836469,-122.177361
