PROPERTY TYPE,ADDRESS,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),MLS#,LATITUDE,LONGITUDE
Single Family Residential,22918 38th Ave SE,Bothell,98021,688880,4,2.5,Canyon Park,2204,20473,1975,2,313,,http://www.redfin.com/WA/Bothell/22918-38th-Ave-SE-98021/home/2772150,1558320,47.789674,-122.183407
Single Family Residential,20931 29th Ave SE,Bothell,98021,675000,3,2.5,Bothell,2944,17424,1979,2,229,,http://www.redfin.com/WA/Bothell/20931-29th-Ave-SE-98021/home/2780984,1559226,47.8076968,-122.1931554
Townhouse,16384 118th Ct NE Unit 35-3,Bothell,98011,428500,2,2.5,Bothell,1129,594342,1998,2,380,500,http://www.redfin.com/WA/Bothell/16384-118th-Ct-NE-98011/unit-35-3/home/57726,1559453,47.7463035,-122.1821598
Single Family Residential,17932 Circle Dr,Bothell,98011,1150000,4,2.75,Downtown Bothell,3145,9759,2016,2,366,,http://www.redfin.com/WA/Bothell/17932-Circle-Dr-98011/home/106723831,1559403,47.7579408,-122.1954116
Townhouse,2201 192nd St SE Unit L1,Bothell,98012,410000,3,2.25,Thrashers Corner,1529,,1999,2,268,480,http://www.redfin.com/WA/Bothell/2201-192nd-St-SE-98012/unit-L1/home/2866543,1558506,47.8253977,-122.20303
Mobile/Manufactured Home,20512 32nd Dr SE,Bothell,98012,399950,3,2,Canyon Park,1539,8276,2004,2,260,175,http://www.redfin.com/WA/Bothell/20512-32nd-Dr-SE-98012/home/2660855,1559432,47.8115011,-122.1896454
Single Family Residential,18328 38th Dr SE,Bothell,98012,574950,3,2.5,Bothell,1755,2171,2006,2,328,125,http://www.redfin.com/WA/Bothell/18328-38th-Dr-SE-98012/home/12104462,1559906,47.8311028,-122.1812166
Single Family Residential,3811 222nd Pl SE,Bothell,98021,774000,5,2.75,Bothell,2880,5051,2007,2,269,55,http://www.redfin.com/WA/Bothell/3811-222nd-Pl-SE-98021/home/17071466,1554335,47.7962807,-122.1819095
Townhouse,16524 23rd SE Unit C4,Bothell,98012,349000,2,2.25,Mays Pond,1452,235929,1984,2,240,375,http://www.redfin.com/WA/Bothell/16524-23rd-Ave-SE-98012/unit-C4/home/2806230,1559482,47.847982,-122.2031264
Single Family Residential,1008 207th Pl SE,Bothell,98012,525000,3,1.75,Thrashers Corner,1540,10019,1988,3,341,,http://www.redfin.com/WA/Bothell/1008-207th-Pl-SE-98012/home/2814666,1559700,47.8103897,-122.2190862
Single Family Residential,20023 97th Ct NE,Bothell,98011,750000,4,2,Bothell,2680,14841,1984,3,280,,http://www.redfin.com/WA/Bothell/20023-97th-Ct-NE-98011/home/286593,1552585,47.7737373,-122.2105761
Single Family Residential,35 242nd St SE,Bothell,98021,1269000,5,3.25,Canyon Park,4222,9583,2017,3,301,92,http://www.redfin.com/WA/Bothell/35-242nd-St-SE-98021/home/144118208,1558745,47.7789416,-122.2315425
Condo/Co-op,20326 Bothell Everett Hwy Unit G203,Bothell,98012,255000,2,1,North Creek,860,301186,1986,4,297,399,http://www.redfin.com/WA/Bothell/20326-Bothell-Everett-Hwy-98012/unit-G203/home/2910410,1558960,47.8134649,-122.2106829
Single Family Residential,4320 234th Pl SE Unit OM-13,Bothell,98021,884995,5,3.25,North Creek,2682,5949,2020,4,330,119,http://www.redfin.com/WA/Bothell/4320-234th-Pl-SE-98021/unit-OM-13/home/170448500,1559007,47.7846543,-122.1746349
Single Family Residential,4324 234th Pl SE Unit OM-12,Bothell,98021,874995,4,2.5,North Creek,2682,4489,2020,4,326,119,http://www.redfin.com/WA/Bothell/4324-234th-Pl-SE-98021/unit-OM-12/home/170448249,1558984,47.7854577,-122.1728145
Townhouse,3517 193rd St SE #18,Bothell,98012,459995,2,2.5,North Creek,1360,1424,2020,5,338,190,http://www.redfin.com/WA/North-Creek/3517-193rd-St-SE-98012/unit-18/home/170441701,1558474,47.822162,-122.185634
Single Family Residential,21632 2nd Ct SE,Bothell,98021,1039000,4,3.5,Queensborough,3193,8276,2020,7,325,,http://www.redfin.com/WA/Bothell/2nd-Ct-SE-98021/home/167252743,1558227,47.801455,-122.229015
Single Family Residential,19311 31st Dr SE #13,Bothell,98012,891490,5,3.25,North Creek,3179,4250,2020,8,280,98,http://www.redfin.com/WA/Bothell/19311-31st-Dr-SE-98012/unit-13/home/170433092,1557843,47.8186352,-122.1906303
Single Family Residential,19318 31st Dr SE #11,Bothell,98012,999900,5,3.75,North Creek,3713,6472,2020,8,269,98,http://www.redfin.com/WA/Bothell/19318-31st-Dr-SE-98012/unit-11/home/170432740,1557836,47.8186352,-122.1906303
Single Family Residential,19315 31st Dr SE #12,Bothell,98012,891490,5,3.25,North Creek,3179,5447,2020,8,280,98,http://www.redfin.com/WA/Bothell/19315-31st-Dr-SE-98012/unit-12/home/170432736,1557841,47.8186352,-122.1906303
Single Family Residential,19316 31st Dr SE #10,Bothell,98012,909990,4,3.5,North Creek,3241,3780,2020,8,281,98,http://www.redfin.com/WA/Bothell/19316-31st-Dr-SE-98012/unit-10/home/170432560,1557833,47.8186352,-122.1906303
Single Family Residential,17331 31st Dr SE,Bothell,98012,745000,4,2.5,North Bothell,2375,6098,2001,8,314,25,http://www.redfin.com/WA/Bothell/17331-31st-Dr-SE-98012/home/2886513,1556194,47.8399549,-122.1902581
Single Family Residential,23018 Atlas Rd,Bothell,98021,749000,4,2.75,Bothell,2306,9583,2017,9,325,,http://www.redfin.com/WA/Bothell/23018-Atlas-Rd-98021/home/109592725,1556749,47.7893725,-122.2627929
Single Family Residential,4010 215th Pl SE,Bothell,98021,939990,5,2.75,Canyon Park,2928,4302,2020,9,321,113,http://www.redfin.com/WA/Bothell/4010-215th-Pl-SE-98021/home/170399650,1557473,47.8020692,-122.1742036
Mobile/Manufactured Home,4430 STRUMME Rd,Bothell,98012,450000,3,2,Bothell,1440,80586,1979,10,313,,http://www.redfin.com/WA/Bothell/4430-Strumme-Rd-98012/home/2466387,1542655,47.851481,-122.1719679
Single Family Residential,307 221st Pl SW,Bothell,98021,989000,4,2.75,Queensborough,3607,7361,2017,10,274,61,http://www.redfin.com/WA/Bothell/307-221st-Pl-SW-98021/home/142991361,1551854,47.7970562,-122.2372525
Mobile/Manufactured Home,1332 192nd St SE #71,Bothell,98012,70000,3,1.5,Canyon Park,1000,,1981,10,70,,http://www.redfin.com/WA/Bothell/1332-192nd-St-SE-98012/unit-71/home/2878000,1556460,47.8229276,-122.2151677
Mobile/Manufactured Home,2200 196 St SE #58,Bothell,98012,118000,3,2,Kennard Corner,1440,,1976,11,82,,http://www.redfin.com/WA/Bothell/2200-196th-St-SE-98012/unit-58/home/2875042,1556721,47.818561,-122.2034516
Mobile/Manufactured Home,1121 244th St SW #38,Bothell,98021,174950,3,1.75,Bothell,1565,455292,1977,11,112,,http://www.redfin.com/WA/Bothell/1121-244th-St-SW-98021/unit-38/home/2875859,1555708,47.7791406,-122.2483024
Townhouse,18412 96th Dr NE Unit D,Bothell,98011,738800,3,2.5,Downtown Bothell,1537,,2020,11,481,189,http://www.redfin.com/WA/Bothell/18412-96th-Ave-NE-98011/unit-D/home/170364256,1556607,47.7615408,-122.2122233
Townhouse,18413 96th Ln NE Unit F,Bothell,98011,818800,3,2.5,Downtown Bothell,1537,,2020,11,533,194,http://www.redfin.com/WA/Bothell/18413-96th-Ct-NE-98011/unit-F/home/170364181,1556604,47.7728819,-122.2116682
Townhouse,13 197th Pl SW #08,Bothell,98012,714950,4,3.25,Thrashers Corner,2418,2193,2019,12,296,90,http://www.redfin.com/WA/Bothell/13-197th-Pl-SW-98012/unit-08/home/170361299,1556133,47.818972,-122.2327457
Townhouse,19324 35th Dr SE #33,Bothell,98012,459995,2,2.5,North Creek,1360,1396,2020,14,338,190,http://www.redfin.com/WA/Bothell/19324-35th-Dr-SE-98012/unit-33/home/170351402,1556122,47.8197452,-122.1853463
Townhouse,612 237th St SE Unit C,Bothell,98021,569190,3,3,Canyon Park,1801,1000,2020,14,316,150,http://www.redfin.com/WA/Bothell/612-237th-St-SE-98021/unit-C/home/170349496,1556048,47.7828999,-122.2231701
Townhouse,612 237th St SE Unit B,Bothell,98021,571190,3,3,Canyon Park,1805,1000,2020,14,316,150,http://www.redfin.com/WA/Bothell/612-237th-St-SE-98021/unit-B/home/170349495,1556081,47.7828999,-122.2231701
Single Family Residential,220 228th St SE,Bothell,98021,1099950,4,2.5,Bothell,3004,10019,2019,15,366,,http://www.redfin.com/WA/Bothell/220-228th-St-SE-98021/home/161172133,1556008,47.7909122,-122.2279128
Single Family Residential,224 228th St SE,Bothell,98021,1099950,4,2.5,Bothell,3004,10454,2019,15,366,,http://www.redfin.com/WA/Bothell/224-228th-St-SE-98021/home/161243883,1556010,47.790772,-122.227934
Townhouse,19731 Meridian Pl W #14,Bothell,98012,694950,4,3.25,Thrashers Corner,2431,2210,2019,15,286,90,http://www.redfin.com/WA/Bothell/19731-Meridian-Pl-W-98012/unit-14/home/169426593,1555963,47.819119,-122.232841
Townhouse,15 197th Pl SW #07,Bothell,98012,669950,3,3.25,Thrashers Corner,2175,2348,2020,15,308,90,http://www.redfin.com/WA/Bothell/15-197th-Pl-SW-98012/unit-07/home/170226090,1555950,47.8189744,-122.2328869
Mobile/Manufactured Home,23708 Locust Way Unit 25B,Bothell,98021,114950,2,1,Bothell,972,,1986,15,118,,http://www.redfin.com/WA/Bothell/23708-Locust-Way-98021/unit-25B/home/2872950,1555812,47.781956,-122.259177
Single Family Residential,104 180th Pl SW Unit CT 09,Bothell,98012,649950,4,2.5,Mill Creek,2101,3351,2020,16,309,50,http://www.redfin.com/WA/Martha-Lake/104-180th-Pl-SW-98012/unit-CT-09/home/170324357,1554643,47.834331,-122.236772
Single Family Residential,1403 241st (Lot #6) Pl SE,Bothell,98021,1345990,7,3.75,Canyon Park,4438,10493,2019,18,303,128,http://www.redfin.com/WA/Bothell/1403-241st-St-SE-98021/home/170292701,1548922,47.7800349,-122.2140475
Townhouse,10323 NE 189th St Unit D,Bothell,98011,879950,3,3.25,Downtown Bothell,2050,,2018,18,429,180,http://www.redfin.com/WA/Bothell/10323-NE-189th-St-98011/unit-D/home/144536825,1554628,47.7647547,-122.2022615
Townhouse,9619 Thorsk St Unit D,Bothell,98011,918800,4,3.5,Downtown Bothell,2000,,2020,18,459,249,http://www.redfin.com/WA/Bothell/9619-Thorsk-St-98011/unit-D/home/170288234,1554795,47.7617938,-122.2121236
Single Family Residential,3921 215th Pl SE,Bothell,98021,940990,5,2.75,Canyon Park,3404,3770,2020,19,276,113,http://www.redfin.com/WA/Bothell/3921-215th-Pl-SE-98021/home/170276521,1554499,47.8020692,-122.1742036
Vacant Land,22816 Locust Way,Lynnwood,98036,999999,0,,Alderwood,,199609,,19,,,http://www.redfin.com/WA/Lynnwood/22816-Locust-Way-98036/home/2655022,1554389,47.791364,-122.256608
Townhouse,9635 Thorsk St Unit B,Bothell,98011,798800,3,2.5,Downtown Bothell,1632,,2020,20,489,197,http://www.redfin.com/WA/Bothell/9635-Thorsk-St-98011/unit-B/home/170271652,1554200,47.7617975,-122.2119358
Townhouse,9619 Thorsk St Unit C,Bothell,98011,718800,2,2.25,Downtown Bothell,1378,,2020,20,522,176,http://www.redfin.com/WA/Bothell/9619-Thorsk-St-98011/unit-C/home/170271645,1554197,47.7617938,-122.2121236
Mobile/Manufactured Home,2200 196th #33 St SE,Bothell,98012,129900,3,1.75,Kennard Corner,1344,,1976,22,97,,http://www.redfin.com/WA/Bothell/2200-196th-St-SE-98012/unit-33/home/2875009,1553816,47.818561,-122.2034516
Single Family Residential,4011 228th St SE,Bothell,98021,1999950,5,2.25,Bothell,3021,129373,1978,23,662,,http://www.redfin.com/WA/Bothell/4011-228th-St-SE-98021/home/2600612,1552734,47.7924234,-122.17874
Single Family Residential,1222 187th St SE,Bothell,98012,689950,4,2.5,North Bothell,2391,5663,2004,23,289,30,http://www.redfin.com/WA/Bothell/1222-187th-St-SE-98012/home/2903999,1551231,47.828139,-122.2149419
Townhouse,14915 38th Dr SE Unit L1123,Bothell,98012,369995,2,2.25,Mill Creek,1114,1,2006,25,332,246,http://www.redfin.com/WA/Bothell/14915-38th-Dr-SE-98012/unit-L1123/home/170226234,1552657,47.8622748,-122.1798117
Single Family Residential,17805 41st Dr SE,Bothell,98012,825990,5,3,Bothell,2911,4580,2020,30,284,96,http://www.redfin.com/WA/Bothell/17805-41st-Dr-SE-98012/home/170195317,1551268,47.836469,-122.177361
Mobile/Manufactured Home,19234 127th Ave,Bothell,98011,299500,2,2,Holly Hills,1152,5347,1973,30,260,23,http://www.redfin.com/WA/Bothell/19234-127th-Ave-NE-98011/home/17080194,1550775,47.7664983,-122.1716498
Mobile/Manufactured Home,10515 Woodinville Dr #20,Bothell,98011,35000,2,1,Bothell,768,,1971,45,46,,http://www.redfin.com/WA/Bothell/10515-Woodinville-Dr-98011/unit-20/home/167080910,1549081,47.7580768,-122.1996656
Mobile/Manufactured Home,11330 E Riverside Dr #21,Bothell,98011,45000,0,,Bothell,780,222591,1967,46,58,,http://www.redfin.com/WA/Bothell/11330-E-Riverside-Dr-98011/unit-21/home/22057390,1548165,47.7531706,-122.1889956
Single Family Residential,23011 20th Ave SE,Bothell,98021,524900,3,2.5,North Creek,1384,9148,1986,49,379,,http://www.redfin.com/WA/Bothell/23011-20th-Ave-SE-98021/home/2809297,1546413,47.7897569,-122.2057465
Single Family Residential,22412 15th Pl W,Bothell,98021,608000,4,2.5,Bothell,1719,8276,1994,51,354,30,http://www.redfin.com/WA/Bothell/22412-15th-Pl-W-98021/home/2837659,1547645,47.7947361,-122.2540533
Single Family Residential,23200 19th Ave SE,Bothell,98021,825000,5,3.5,Canyon Park,3264,49658,1968,53,253,,http://www.redfin.com/WA/Bothell/23200-19th-Ave-SE-98021/home/2618043,1546909,47.7878716,-122.2083378
Single Family Residential,101 232nd  (Site 06) Pl SE,Bothell,98021,1221995,4,3,Bothell,3181,7219,2019,58,384,107,http://www.redfin.com/WA/Bothell/6-234th-Pl-SE-98021/home/2733662,1546330,47.7851661,-122.2327032
Single Family Residential,22525 53rd Ave SE,Bothell,98021,849990,3,2.5,Canyon Park,2376,20909,1977,68,358,,http://www.redfin.com/WA/Bothell/22525-53rd-Ave-SE-98021/home/2595349,1543190,47.7917486,-122.1599194
Townhouse,19714 Meridian Pl W #28,Bothell,98012,709950,4,3.25,Thrashers Corner,2431,2159,2019,70,292,90,http://www.redfin.com/WA/Mill-Creek/19714-Meridian-Pl-W-98012/unit-28/home/169932228,1542785,47.818963,-122.232737
Single Family Residential,35 232nd  (Lot 05) Pl S,Bothell,98021,1213995,4,3,Bothell,3145,7195,2019,72,386,107,http://www.redfin.com/WA/Bothell/35-232nd-Pl-SW-98021/home/169914900,1543445,47.7875396,-122.2338925
Townhouse,18416 96th Ln NE Unit B,Bothell,98011,778800,3,2.5,Downtown Bothell,1632,,2020,74,477,197,http://www.redfin.com/WA/Bothell/18416-96th-Ct-NE-98011/unit-B/home/169896082,1542725,47.7728819,-122.2116682
Townhouse,18412 96th Dr NE Unit B,Bothell,98011,758800,3,2.5,Downtown Bothell,1537,,2020,75,494,189,http://www.redfin.com/WA/Bothell/18412-96th-Ct-NE-98011/unit-B/home/169883304,1542491,47.7728819,-122.2116682
Single Family Residential,21617 2nd Ct SE,Bothell,98021,1059000,4,3.5,Bothell,3232,8276,2020,76,328,,http://www.redfin.com/WA/Bothell/2nd-Ct-SE-98021/home/167252742,1542137,47.801586,-122.228836
Single Family Residential,331 203rd St SE,Bothell,98012,700000,4,2.25,Bothell,2052,38768,1978,80,341,,http://www.redfin.com/WA/Bothell/331-203rd-St-SE-98012/home/2648594,1540907,47.8141867,-122.226424
Townhouse,1325 Seattle Hill Rd Unit L4,Bothell,98012,549000,3,3,Mill Creek,2027,1307,2017,80,271,131,http://www.redfin.com/WA/Bothell/1325-Seattle-Hill-Rd-98012/unit-L4/home/142644271,1539808,47.8450585,-122.2147021
Single Family Residential,120 161st St SE,Bothell,98012,589950,3,1.75,Mill Creek,1608,18296,1966,87,367,,http://www.redfin.com/WA/Bothell/120-161st-St-SE-98012/home/2760059,1507855,47.8516917,-122.2305883
Single Family Residential,17803 41st Dr SE,Bothell,98012,830990,5,3,Bothell,2050,6183,2020,92,405,96,http://www.redfin.com/WA/Bothell/17803-41st-Dr-SE-98012/home/169633503,1537563,47.836469,-122.177361
Single Family Residential,17817 41st Dr SE,Bothell,98012,849990,5,3,Bothell,3006,4500,2020,92,283,96,http://www.redfin.com/WA/Bothell/17817-41st-Dr-SE-98012/home/169633476,1537593,47.836469,-122.177361
Single Family Residential,17819 41st Dr SE,Bothell,98012,780990,4,2.5,Bothell,2702,4286,2020,92,289,96,http://www.redfin.com/WA/Bothell/17819-41st-Dr-SE-98012/home/169633173,1537607,47.836469,-122.177361
Mobile/Manufactured Home,2200 196 St SE #66,Bothell,98012,149500,3,2,Kennard Corner,1344,,2000,93,111,,http://www.redfin.com/WA/Bothell/2200-196th-St-SE-98012/unit-66/home/2875051,1536736,47.818561,-122.2034516
Single Family Residential,22126 43rd (Homesite North 26) Dr SE,Bothell,98021,844900,4,2.75,Canyon Park,2425,3178,2019,94,348,102,http://www.redfin.com/WA/Bothell/22126-26th-Dr-SE-98021/home/169603683,1536756,47.796406,-122.173397
Mobile/Manufactured Home,23825 15th Ave SE #172,Bothell,98021,237500,2,1.75,Bothell,1080,,1971,97,220,,http://www.redfin.com/WA/Bothell/23825-15th-Ave-SE-98021/unit-172/home/2874634,1525555,47.78206,-122.2098023
Single Family Residential,16806 1st Pl W,Bothell,98012,695000,4,2.5,Martha Lake,2346,3920,2016,100,296,85,http://www.redfin.com/WA/Bothell/16806-1st-Pl-W-98012/home/109653471,1535073,47.8452822,-122.2354324
Vacant Land,23411 27th Ave SE,Bothell,98021,1200000,0,,Canyon Park,,107158,,101,,,http://www.redfin.com/WA/Bothell/23411-27th-Ave-SE-98021/home/161221042,1531362,47.7854016,-122.1939076
Mobile/Manufactured Home,23708 Locust Way #26,Bothell,98021,87500,2,0.75,Canyon Park,880,,1974,108,99,,http://www.redfin.com/WA/Bothell/23708-Locust-Way-98021/unit-26/home/2872951,1530371,47.7819562,-122.259177
Single Family Residential,9628 NE 200th St,Bothell,98011,1125000,5,3,Bothell,2983,13264,1969,114,377,,http://www.redfin.com/WA/Bothell/9628-NE-200th-St-98011/home/285579,1525510,47.7737075,-122.2113555
Vacant Land,4234 Strumme Rd,Bothell,98012,660000,0,,Bothell,,101930,,116,,,http://www.redfin.com/WA/Bothell/4234-Strumme-Rd-98012/home/161341891,1528947,47.84967,-122.174257
Mobile/Manufactured Home,2200 196 St SE #100,Bothell,98012,149500,3,2,Kennard Corner,1674,,1981,142,89,,http://www.redfin.com/WA/Bothell/2200-196th-St-SE-98012/unit-100/home/2875092,1517933,47.818561,-122.2034516
Single Family Residential,23203 Locust Way,Bothell,98021,899000,1,2.5,Bothell,2259,119790,1975,142,398,,http://www.redfin.com/WA/Bothell/23203-Locust-Way-98021/home/2654956,1517547,47.7879084,-122.2552856
Single Family Residential,9321 NE 173rd (Site 10 - MODEL HOME) St,Bothell,98011,1499995,4,2.75,Bothell,3188,8001,2019,147,471,111,http://www.redfin.com/WA/Bothell/9321-NE-173rd-St-98011/home/168943566,1512880,47.753645,-122.214789
Single Family Residential,1818 240th Pl SW,Bothell,98021,749950,4,2.5,Bothell,2063,3920,2016,150,364,50,http://www.redfin.com/WA/Bothell/1818-240th-Pl-SW-98021/home/112744914,1514998,47.7798766,-122.2579414
Single Family Residential,10 213th St SW,Bothell,98021,929950,5,3.25,Queensborough,3269,8204,2019,151,284,,http://www.redfin.com/WA/Bothell/10-213th-St-SW-98021/home/168869545,1514011,47.80516,-122.2338867
Single Family Residential,21019 Royal Anne Rd,Bothell,98021,1400000,10,3.25,Snohomish,5094,43124,2006,164,275,,http://www.redfin.com/WA/Bothell/21019-Royal-Anne-Rd-98021/home/2648422,1503722,47.8071629,-122.2236241
Single Family Residential,8237 NE 196th St,Kenmore,98028,935000,4,3.5,Kenmore,3316,4568,2017,178,282,132,http://www.redfin.com/WA/Kenmore/8237-NE-196th-St-98028/home/109661099,1499599,47.7716308,-122.2279649
Single Family Residential,20405 4th Dr SE,Bothell,98012,1083000,4,3.5,Canyon Park,3289,7707,2019,190,329,,http://www.redfin.com/WA/Bothell/20405-4th-Dr-SE-98012/home/167240402,1495350,47.81231808,-122.2245817
Single Family Residential,15426 98th Ct NE,Bothell,98011,1450000,4,3.5,Juanita,3755,9785,2019,191,386,66,http://www.redfin.com/WA/Bothell/15426-98th-Ct-NE-98011/home/167939078,1496287,47.7394706,-122.2106995
Single Family Residential,20403 4th Dr SE,Bothell,98012,1088000,4,3.5,Canyon Park,3289,7499,2019,204,331,,http://www.redfin.com/WA/Bothell/20403-4th-Dr-SE-98012/home/167240401,1489581,47.81231808,-122.2245817
Vacant Land,20925 Royal Anne Rd,Bothell,98021,1700000,0,,Thrashers Corner,,140263,,218,,,http://www.redfin.com/WA/Bothell/20925-Royal-Anne-Rd-98021/home/2648421,1483205,47.8077127,-122.2236513
Single Family Residential,20417 4th Dr SE,Bothell,98012,978000,4,2.75,Canyon Park,3003,5497,2019,224,326,,http://www.redfin.com/WA/Bothell/20417-4th-Dr-SE-98012/home/167124129,1477599,47.81231808,-122.2245817
Vacant Land,15814 3rd Ave SE,Bothell,98012,360000,0,,Mill Creek,,11100,,234,,,http://www.redfin.com/WA/Bothell/15814-3rd-Ave-SE-98012/home/2716424,1473647,47.854288,-122.2285701
Single Family Residential,32 159th Pl SE,Bothell,98012,730000,4,3.5,Martha Lake,2701,3492,2016,268,270,,http://www.redfin.com/WA/Bothell/32-159th-Pl-SE-98012/home/104010584,1447998,47.85336,-122.23196
Single Family Residential,8 213th St SW,Bothell,98021,924950,4,2.5,Queensborough,3205,5644,2020,274,289,,http://www.redfin.com/WA/Bothell/8-213th-St-SW-98021/home/161247722,1450702,47.804742,-122.233359
Single Family Residential,21605 2nd Ct SE,Bothell,98021,994925,5,3,Bothell,3004,8503,2020,295,331,,http://www.redfin.com/WA/Bothell/2nd-Ct-SE-98021/home/161692501,1439356,47.80194,-122.229113
Single Family Residential,9325 NE 173rd (Home Site 11) St,Bothell,98011,1257995,5,2.75,Bothell,3195,7151,2019,302,394,111,http://www.redfin.com/WA/Bothell/9325-NE-173rd-St-98011/home/161120496,1435252,47.753631,-122.2148002
Single Family Residential,246 220th St SE,Bothell,98021,1249000,5,3,Canyon Park,3807,12889,2019,428,328,,http://www.redfin.com/WA/Bothell/246-220th-St-SE-98021/home/148373412,1390502,47.7981877,-122.22848
Vacant Land,57th Ave SE,Bothell,98021,750000,0,,Bothell,,217800,,625,,,http://www.redfin.com/WA/Bothell/57th-AVE-SE-98021/home/161410516,1293438,47.795544,-122.158053
Single Family Residential,17816 Clover Rd,Bothell,98012,900000,0,,Mill Creek,1653,133729,1976,721,544,,http://www.redfin.com/WA/Bothell/17816-Clover-Rd-98012/home/2647318,1244243,47.8364192,-122.2301161
Single Family Residential,11004 Circle Dr,Bothell,98011,735000,3,2,Bothell,2300,28314,1956,169,320,,http://www.redfin.com/WA/Bothell/11004-Circle-Dr-98011/home/286148,5027865,47.7571884,-122.1935692
Single Family Residential,101 232nd Pl SE,Bothell,98021,1221995,4,3,Meridian Grove,3144,,2020,17,389,,http://www.redfin.com/WA/Bothell/232nd-Pl-SE-98021/home/167337140,1795891,47.787517,-122.232188
Single Family Residential,34 232nd Pl SE,Bothell,98021,1224995,4,3,Meridian Grove,3145,,2020,17,390,,http://www.redfin.com/WA/Bothell/232nd-Pl-SE-98021/home/160700540,1795892,47.787517,-122.232188
Single Family Residential,35 232nd Pl SE,Bothell,98021,1213995,4,3,Meridian Grove,3145,,2020,17,386,,http://www.redfin.com/WA/Bothell/232nd-Pl-SE-98021/home/167337138,1795893,47.787517,-122.232188
